Paraná | Todos os Municípios;;;;;;;;;;;;;
;;;;;;;;;;;;;
Município [-];Código [-];Gentílico [-];Prefeito [2025];Área Territorial - km [2024];População no último censo - pessoas [2022];Densidade demográfica - hab/km [2022];População estimada - pessoas [2024];Escolarização 6 a 14 anos [2010];IDHM Índice de desenvolvimento humano municipal [2010];Mortalidade infantil - óbitos por mil nascidos vivos [2023];Total de receitas brutas realizadas - [2023];Total de despesas brutas empenhadas - [2023];PIB per capita - [2021]
São Jerônimo da Serra;4124707;jeronimense;VENICIUS DJALMA ROSA;823,774;10830;13,15;10913;96,2;0,637;24,69;66441785,43;57455244,38;29122,78
São João;4124806;são-joanense;CLOVIS MATEUS CUCCOLOTTO;388,059;11886;30,63;12230;97,6;0,727;7,52;86491301;83372691,13;87991,12
São João do Caiuá;4124905;caiuense;STEFAN TOMÉ PAUKA;304,413;5586;18,35;5620;95;0,664;-;43765599,36;34222742,86;26569,18
São João do Ivaí;4125001;são-joanense;FÁBIO HIDEK MIURA;353,331;10667;30,19;10700;98,7;0,693;23,08;64977149,25;54635748,95;36497,91
São João do Triunfo;4125100;triunfense;MARIO CEZAR DA SILVA;720,407;13726;19,05;13923;96,9;0,629;19,87;86683434,65;78058480,98;37735,83
São Jorge d'Oeste;4125209;são-jorgense ou jorgense;GELSON COELHO DO ROSÁRIO;379,545;9378;24,71;9550;98,9;0,722;8,33;93670595,53;80394374,43;52566,77
São Jorge do Ivaí;4125308;são-jorgense;AGNALDO CARVALHO GUIMARÃES;315,088;5168;16,4;5193;98,4;0,743;23,26;54262122,86;45339931,07;72507,92
São Jorge do Patrocínio;4125357;patrocinense;RONALDO TINTI;406,413;6504;16;6659;97,2;0,676;14,08;67754887,45;55277541,32;26281,08
São José da Boa Vista;4125407;boa-vistense;JOSE LAZARO FERRAZ;399,73;6040;15,11;6060;99,2;0,671;24,39;38494002,36;35299548,82;37579,8
São José das Palmeiras;4125456;são-joseliense;FRANCO MARIA ALVES CABRAL;182,419;3957;21,69;4030;99,5;0,713;-;35473071,25;30547734,78;27502,48
São José dos Pinhais;4125506;são-joseense;MARGARIDA MARIA SINGER;946,049;329628;348,28;345644;97,4;0,758;7,8;1855037819;1665902153;80717,4
São Manoel do Paraná;4125555;são manoelense;VITOR HUGO RODRIGUES;95,381;2138;22,42;2173;97,8;0,725;90,91;40468653,4;33863657,23;28799,62
São Mateus do Sul;4125605;são-mateuense;FERNANDA GARCIA SARDANHA;1341,714;42366;31,58;43413;97,6;0,719;9,86;249176471,5;215240697,3;32181,24
São Miguel do Iguaçu;4125704;são-miguelense;BOAVENTURA MANOEL JOAO MOTTA;851,917;29122;34,18;30198;99;0,704;4,89;241480542,4;225273581,4;53082,67
São Pedro do Iguaçu;4125753;São pedrense;JACIR DANELLI;308,324;5784;18,76;5769;97,3;0,683;12,35;48516854,01;39462664,68;43023,44
São Pedro do Ivaí;4125803;ivaiense;RILDO BERNARDES DE CAMARGO;322,692;8690;26,93;8611;97,6;0,717;-;63324400,36;53707403,01;33318,9
São Pedro do Paraná;4125902;são-pedrense;VANDERLEI CAETANO DE CASTRO;250,654;2661;10,62;2722;100;0,704;-;40727676,32;33387139,14;39882,77
São Sebastião da Amoreira;4126009;amoreirense;EXILAINE GASPAR;226,872;8063;35,54;8100;99;0,715;11,36;45298354,26;42434049,73;33860,14
São Tomé;4126108;são-tomeense;JOÃO PAULO TRAVASSOS RADDI;218,623;5232;23,93;5290;98,7;0,725;-;43382257,13;42765815,44;28293,49
Sapopema;4126207;sapopemense;PAULO MAXIMIANO DE SOUZA JUNIOR;677,609;6695;9,88;6784;96,7;0,655;9,9;48461142,42;43309142,85;22942,31
Sarandi;4126256;sarandiense;CARLOS ALBERTO DE PAULA JÚNIOR;103,501;118455;1144,48;125785;96,3;0,695;12,89;505417797,9;434716350,3;20962,06
Saudade do Iguaçu;4126272;saudadense;ROGERIO GALLINA;152,084;6108;40,16;6342;99;0,699;40,54;65996117,09;55692178,2;140973,05
Sengés;4126306;sengeano;GERSON NUNES DA SILVA;1443,237;17270;11,98;17344;97,7;0,663;11,72;122664112,4;108238506,8;34196,93
Serranópolis do Iguaçu;4126355;serranopolitano;GILBERTO MARSARO;482,394;5007;10,38;5138;100;0,762;-;60547982,88;48742886,36;65324,84
Sertaneja;4126405;sertanejano;SAMUEL CARLOS DO PRADO;444,492;5616;12,63;5667;99,6;0,725;34,48;62188071,14;53681521,28;80884,23
Sertanópolis;4126504;sertanopolense;ANA RUTH SECCO MATTESCO;505,532;15930;31,51;16183;97,1;0,723;11,49;116705463,9;105363528,6;41980,09
Siqueira Campos;4126603;siqueirense;LUIZ HENRIQUE GERMANO;278,035;22811;82,04;23712;97,5;0,704;6,15;134072278;112139264,8;32901,6
Sulina;4126652;sulinense;GILBERTO JOÃO ROSSI;170,759;3440;20,15;3495;99,2;0,693;-;43137566,31;34072233,66;55046,1
Tamarana;4126678;tamaranense;LUZIA HARUE SUZUKAWA;472,155;10707;22,68;10645;94,4;0,621;23,39;82177887,4;77750768,7;25633,93
Tamboara;4126702;tamboarense;GIOVANE MONTEIRO DA SILVA;193,346;4880;25,24;4979;98,3;0,731;37,74;35478600,43;32103187,5;24312,5
Tapejara;4126801;tapejarense;RONALDO ADRIANO VILAS BOAS;591,399;15869;26,83;16255;98,3;0,703;12,42;117161441,3;105575303,1;30138,8
Tapira;4126900;tapirense;RONALD ROGÉRIO LOPES SMARZARO;434,371;5745;13,23;5813;99,2;0,697;18,18;45977360,14;40894442,62;28143,29
Teixeira Soares;4127007;teixeira-soarense;IVANOR LUIZ MULLER;902,801;9547;10,57;9581;96,8;0,671;23,62;89030835,3;78633477,83;48305,51
Telêmaco Borba;4127106;telêmaco-borbense;RITA MARA DE PAULA ARAUJO;1382,86;75042;54,27;77182;98,4;0,734;10,97;472443787;397192979,2;60971,64
Terra Boa;4127205;terra-bonense;VALTER PERES;320,85;17568;54,75;18048;98,8;0,728;32,79;124968719,3;101495188,3;32908,97
Terra Rica;4127304;terra-riquense;AGNALDO DE SOUZA COSTA;700,599;14842;21,18;14989;98,8;0,71;12,66;121098100,4;111776377;22058,69
Terra Roxa;4127403;terra-roxense;IVAN REIS DA SILVA;800,807;18119;22,63;18548;97,7;0,714;20,66;144056575,9;112854381,5;50881,4
Tibagi;4127502;tibagiano;RILDO EMANOEL LEONARDI;2977,933;19961;6,7;20304;96,6;0,664;3,5;193526072,7;145537760,7;69611,31
Tijucas do Sul;4127601;tijuquense / tijucano;JOSÉ ALTAIR MOREIRA;671,889;17621;26,23;18279;97,2;0,636;13,76;121571457,2;110864555,3;33328,52
Toledo;4127700;toledano;MARIO CESAR COSTENARO;1198,049;150470;125,6;158620;98,8;0,768;8,81;1028344233;892895749,1;51745,73
Tomazina;4127809;tomazinense;CEZAR BUENO DE MELO;591,438;8426;14,25;8495;98,4;0,699;11,49;55201564,89;44866033,78;42105,95
Três Barras do Paraná;4127858;tribarrense;GERSO FRANCISCO GUSSO;505,505;11135;22,03;11197;98,3;0,681;-;83248326,12;74192542,12;36223,55
Tunas do Paraná;4127882;tunense;MARCO ANTONIO BALDÃO;668,478;6219;9,3;6302;97,4;0,611;17,09;52106543,39;43348656,51;15551,33
Tuneiras do Oeste;4127908;tuneirense;GUERINO MENDONÇA DOS SANTOS;698,871;8067;11,54;8095;97,7;0,695;11,49;61637730,85;51058364;27492,5
Tupãssi;4127957;tupãssiense;JOSE CARLOS MARIUSSI;299,769;8077;26,94;8204;98,5;0,73;27,03;67170849,76;56317765,67;53232,85
Turvo;4127965;turvense;ANTONIO MARCOS SEGURO;939,182;14231;15,16;14443;97,5;0,672;14,49;108689261,1;86419090,98;46362,98
Ubiratã;4128005;ubiratense;FABIO DE OLIVEIRA DALECIO;652,581;24749;37,92;25517;97,7;0,739;5,97;172558552,1;147372834,3;82368,19
Umuarama;4128104;umuaramense;ANTONIO FERNANDO SCANAVACA;1234,537;117095;94,85;121972;97,9;0,761;13,13;698923922,4;677540115,1;36183,64
União da Vitória;4128203;união-vitoriense;ARY CARNEIRO JUNIOR;719,998;55033;76,43;56397;98,2;0,74;10,25;299346614,6;322486527,4;33607,71
Uniflor;4128302;uniflorense;MAYCON RODRIGO RODRIGUES DE SOUZA;94,819;2136;22,53;2121;98,3;0,72;-;33170497,87;29010226,62;38081,98
Uraí;4128401;uraiense;ANGELO TARANTINI FILHO;237,81;10406;43,76;10407;98,6;0,721;-;61027963,19;54217214,7;32748,89
Wenceslau Braz;4128500;brazense;LUIZ CARLOS VIDAL;397,916;19188;48,22;19430;98,2;0,687;22,64;106314847,4;98817957,22;36742,11
Ventania;4128534;ventaniense;JOSE LUIZ BITTENCOURT;819,334;9681;11,82;9779;95,7;0,65;23,81;71076991,16;60716510,11;28338,49
Vera Cruz do Oeste;4128559;vera-cruzense;EDNEI SGOBI;326,947;8215;25,12;8227;97,7;0,699;-;57457591,41;49544334,85;40663,64
Verê;4128609;vereense;PAULO ROBERTO WEISSHEIMER;311,801;7932;25,44;8051;98,1;0,72;20,2;72807640,92;56481200,4;70446,49
Alto Paraíso;4128625;altoparaisense;LUIZ ELISEU DOS SANTOS;967,772;3055;3,16;3077;99,4;0,678;-;48650572,17;38802811,29;43223,91
Doutor Ulysses;4128633;ulyssense;ESEQUIEL BESTEL JUNIOR;777,482;5697;7,33;5773;94,4;0,546;-;39842388,62;34292330,78;17958,74
Virmond;4128658;virmondense;FERNANDO MIERZVA;249,065;3811;15,3;3842;99,5;0,722;-;36632020,53;37883890,63;46837,97
Vitorino;4128708;vitorinense;MARCIANO VOTTRI;308,218;9706;31,49;10280;97,4;0,702;20,41;66537191,09;62558887,74;72445,13
Xambrê;4128807;xambrense;DECIO JARDIM;359,712;5798;16,12;5851;98,6;0,706;-;48862197,36;40837562,92;21426,52
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;
Escolarização 6 a 14 anos : [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100;;;;;;;;;;;;;
Fontes:;;;;;;;;;;;;;
Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023;;;;;;;;;;;;;
População no último censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023;;;;;;;;;;;;;
Densidade demográfica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023;;;;;;;;;;;;;
População estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2024;;;;;;;;;;;;;
Escolarização 6 a 14 anos : IBGE, Censo Demográfico 2010;;;;;;;;;;;;;
IDHM Índice de desenvolvimento humano municipal : Programa das Nações Unidas para o Desenvolvimento - PNUD;;;;;;;;;;;;;
Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022;;;;;;;;;;;;;
Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional;;;;;;;;;;;;;
Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional;;;;;;;;;;;;;
PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA;;;;;;;;;;;;;
